"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","458","testLoginScenarios","TestSuite","2026-03-24","skipped","2026-03-24","api.AuthTest","API Tests","api.AuthTest","testLoginScenarios"
"","1274","getUserById_ShouldMatchExpectedName_AndSchema","TestSuite","2026-03-24","passed","2026-03-24","api.UserApiTest","API Tests","api.UserApiTest","getUserById_ShouldMatchExpectedName_AndSchema"
"","185","getUsers_ShouldReturn10Users","TestSuite","2026-03-24","passed","2026-03-24","api.UserApiTest","API Tests","api.UserApiTest","getUsers_ShouldReturn10Users"
"","470","testLoginScenarios","TestSuite","2026-03-24","skipped","2026-03-24","api.AuthTest","API Tests","api.AuthTest","testLoginScenarios"
"","472","testLoginScenarios","TestSuite","2026-03-24","skipped","2026-03-24","api.AuthTest","API Tests","api.AuthTest","testLoginScenarios"
"","1252","getInvalidUser_ShouldReturn404","TestSuite","2026-03-24","passed","2026-03-24","api.UserApiTest","API Tests","api.UserApiTest","getInvalidUser_ShouldReturn404"
"","318","testLoginScenarios","TestSuite","2026-03-24","skipped","2026-03-24","api.AuthTest","API Tests","api.AuthTest","testLoginScenarios"
"","320","testSLA","TestSuite","2026-03-24","skipped","2026-03-24","api.PerformanceTest","API Tests","api.PerformanceTest","testSLA"
"","499","testUserListSchema","TestSuite","2026-03-24","skipped","2026-03-24","api.UserSchemaTest","API Tests","api.UserSchemaTest","testUserListSchema"
"","235","getPostById_ShouldReturnCorrectData_AndPassSchema","TestSuite","2026-03-24","passed","2026-03-24","api.PostApiTest","API Tests","api.PostApiTest","getPostById_ShouldReturnCorrectData_AndPassSchema"
"","332","monitoringUsersApi","TestSuite","2026-03-24","skipped","2026-03-24","api.PerformanceTest","API Tests","api.PerformanceTest","monitoringUsersApi"
"","440","deletePost_ShouldReturn200","TestSuite","2026-03-24","passed","2026-03-24","api.PostApiTest","API Tests","api.PostApiTest","deletePost_ShouldReturn200"
"","436","createPost_ShouldReturn201_AndValidPayload","TestSuite","2026-03-24","passed","2026-03-24","api.PostApiTest","API Tests","api.PostApiTest","createPost_ShouldReturn201_AndValidPayload"
"","494","testRegisterSuccess","TestSuite","2026-03-24","skipped","2026-03-24","api.AuthTest","API Tests","api.AuthTest","testRegisterSuccess"
"","468","testCreateUserSchema","TestSuite","2026-03-24","skipped","2026-03-24","api.UserSchemaTest","API Tests","api.UserSchemaTest","testCreateUserSchema"
"","1651","createUser","TestSuite","2026-03-24","skipped","2026-03-24","api.UserCrudTest","API Tests","api.UserCrudTest","createUser"
"","284","testSLA","TestSuite","2026-03-24","skipped","2026-03-24","api.PerformanceTest","API Tests","api.PerformanceTest","testSLA"
"","271","testFullIntegrationFlow","TestSuite","2026-03-24","skipped","2026-03-24","api.IntegrationApiUiTest","API Tests","api.IntegrationApiUiTest","testFullIntegrationFlow"
"","508","testSLA","TestSuite","2026-03-24","skipped","2026-03-24","api.PerformanceTest","API Tests","api.PerformanceTest","testSLA"
"","889","updatePost_ShouldReturn200_AndUpdatedTitle","TestSuite","2026-03-24","passed","2026-03-24","api.PostApiTest","API Tests","api.PostApiTest","updatePost_ShouldReturn200_AndUpdatedTitle"
"","244","getCommentsByPostId_ShouldReturnFiveComments","TestSuite","2026-03-24","passed","2026-03-24","api.CommentApiTest","API Tests","api.CommentApiTest","getCommentsByPostId_ShouldReturnFiveComments"
"","469","deleteUser","TestSuite","2026-03-24","skipped","2026-03-24","api.UserCrudTest","API Tests","api.UserCrudTest","deleteUser"
"","272","testUserSchema","TestSuite","2026-03-24","skipped","2026-03-24","api.UserSchemaTest","API Tests","api.UserSchemaTest","testUserSchema"
"","285","testRegisterMissingPassword","TestSuite","2026-03-24","skipped","2026-03-24","api.AuthTest","API Tests","api.AuthTest","testRegisterMissingPassword"
"","335","updateUserPut","TestSuite","2026-03-24","skipped","2026-03-24","api.UserCrudTest","API Tests","api.UserCrudTest","updateUserPut"
"","539","testSLA","TestSuite","2026-03-24","skipped","2026-03-24","api.PerformanceTest","API Tests","api.PerformanceTest","testSLA"
"","469","getUser","TestSuite","2026-03-24","skipped","2026-03-24","api.UserCrudTest","API Tests","api.UserCrudTest","getUser"
"","497","updateUserPatch","TestSuite","2026-03-24","skipped","2026-03-24","api.UserCrudTest","API Tests","api.UserCrudTest","updateUserPatch"
"","278","testSLA","TestSuite","2026-03-24","skipped","2026-03-24","api.PerformanceTest","API Tests","api.PerformanceTest","testSLA"
"","1","verifyApiLoginPrecondition","TestSuite","2026-03-24","skipped","2026-03-24","api.IntegrationApiUiTest","API Tests","api.IntegrationApiUiTest","verifyApiLoginPrecondition"
"","0","testUiLoginOnlyWhenPreconditionPasses","TestSuite","2026-03-24","skipped","2026-03-24","api.IntegrationApiUiTest","API Tests","api.IntegrationApiUiTest","testUiLoginOnlyWhenPreconditionPasses"
"","506","testLoginScenarios","TestSuite","2026-03-24","skipped","2026-03-24","api.AuthTest","API Tests","api.AuthTest","testLoginScenarios"
